player,nation,position,primary_position,metric,value,metric_label
Trey Nyoni,eng ENG,MF,MF,goals_per90,0.0,Goals Per90
Harvey Elliott,eng ENG,"FW,MF",FW,goals_per90,0.0,Goals Per90
Virgil van Dijk,nl NED,DF,DF,assists_per90,0.0,Assists Per90
Dominik Szoboszlai,hu HUN,"MF,DF",MF,assists_per90,0.15,Assists Per90
Ibrahima Konaté,fr FRA,DF,DF,assists_per90,0.0,Assists Per90
Ryan Gravenberch,nl NED,MF,MF,assists_per90,0.09,Assists Per90
Cody Gakpo,nl NED,"MF,FW",MF,assists_per90,0.17,Assists Per90
Alexis Mac Allister,ar ARG,MF,MF,assists_per90,0.15,Assists Per90
Florian Wirtz,de GER,MF,MF,assists_per90,0.12,Assists Per90
Alisson,br BRA,GK,GK,assists_per90,0.0,Assists Per90
Milos Kerkez,hu HUN,DF,DF,assists_per90,0.04,Assists Per90
Mohamed Salah,eg EGY,MF,MF,assists_per90,0.26,Assists Per90
Hugo Ekitike,fr FRA,FW,FW,assists_per90,0.2,Assists Per90
Curtis Jones,eng ENG,"MF,DF",MF,assists_per90,0.1,Assists Per90
Andrew Robertson,sct SCO,DF,DF,assists_per90,0.0,Assists Per90
Jeremie Frimpong,nl NED,"DF,MF",DF,assists_per90,0.09,Assists Per90
Conor Bradley,nir NIR,DF,DF,assists_per90,0.1,Assists Per90
Giorgi Mamardashvili,ge GEO,GK,GK,assists_per90,0.0,Assists Per90
Alexander Isak,se SWE,FW,FW,assists_per90,0.13,Assists Per90
Joe Gomez,eng ENG,DF,DF,assists_per90,0.33,Assists Per90
Rio Ngumoha,eng ENG,MF,MF,assists_per90,0.23,Assists Per90
Federico Chiesa,it ITA,MF,MF,assists_per90,0.29,Assists Per90
Freddie Woodman,eng ENG,GK,GK,assists_per90,0.0,Assists Per90
Wataru Endo,jp JPN,DF,DF,assists_per90,0.51,Assists Per90
Trey Nyoni,eng ENG,MF,MF,assists_per90,0.0,Assists Per90
Harvey Elliott,eng ENG,"FW,MF",FW,assists_per90,0.0,Assists Per90
Virgil van Dijk,nl NED,DF,DF,goals_assists_per90,0.11,Goals Assists Per90
Dominik Szoboszlai,hu HUN,"MF,DF",MF,goals_assists_per90,0.32,Goals Assists Per90
Ibrahima Konaté,fr FRA,DF,DF,goals_assists_per90,0.03,Goals Assists Per90
Ryan Gravenberch,nl NED,MF,MF,goals_assists_per90,0.25,Goals Assists Per90
Cody Gakpo,nl NED,"MF,FW",MF,goals_assists_per90,0.42,Goals Assists Per90
Alexis Mac Allister,ar ARG,MF,MF,goals_assists_per90,0.22,Goals Assists Per90
Florian Wirtz,de GER,MF,MF,goals_assists_per90,0.31,Goals Assists Per90
Alisson,br BRA,GK,GK,goals_assists_per90,0.0,Goals Assists Per90
Milos Kerkez,hu HUN,DF,DF,goals_assists_per90,0.13,Goals Assists Per90
Mohamed Salah,eg EGY,MF,MF,goals_assists_per90,0.57,Goals Assists Per90
Hugo Ekitike,fr FRA,FW,FW,goals_assists_per90,0.75,Goals Assists Per90
Curtis Jones,eng ENG,"MF,DF",MF,goals_assists_per90,0.1,Goals Assists Per90
Andrew Robertson,sct SCO,DF,DF,goals_assists_per90,0.08,Goals Assists Per90
Jeremie Frimpong,nl NED,"DF,MF",DF,goals_assists_per90,0.09,Goals Assists Per90
Conor Bradley,nir NIR,DF,DF,goals_assists_per90,0.1,Goals Assists Per90
Giorgi Mamardashvili,ge GEO,GK,GK,goals_assists_per90,0.0,Goals Assists Per90
Alexander Isak,se SWE,FW,FW,goals_assists_per90,0.52,Goals Assists Per90
Joe Gomez,eng ENG,DF,DF,goals_assists_per90,0.33,Goals Assists Per90
Rio Ngumoha,eng ENG,MF,MF,goals_assists_per90,0.68,Goals Assists Per90
Federico Chiesa,it ITA,MF,MF,goals_assists_per90,0.86,Goals Assists Per90
Freddie Woodman,eng ENG,GK,GK,goals_assists_per90,0.0,Goals Assists Per90
Wataru Endo,jp JPN,DF,DF,goals_assists_per90,0.51,Goals Assists Per90
Trey Nyoni,eng ENG,MF,MF,goals_assists_per90,0.0,Goals Assists Per90
Harvey Elliott,eng ENG,"FW,MF",FW,goals_assists_per90,0.0,Goals Assists Per90
Virgil van Dijk,nl NED,DF,DF,shots,27.0,Shots
Dominik Szoboszlai,hu HUN,"MF,DF",MF,shots,68.0,Shots
Ibrahima Konaté,fr FRA,DF,DF,shots,10.0,Shots
Ryan Gravenberch,nl NED,MF,MF,shots,35.0,Shots
Cody Gakpo,nl NED,"MF,FW",MF,shots,83.0,Shots
Alexis Mac Allister,ar ARG,MF,MF,shots,47.0,Shots
Florian Wirtz,de GER,MF,MF,shots,48.0,Shots
Alisson,br BRA,GK,GK,shots,0.0,Shots
Milos Kerkez,hu HUN,DF,DF,shots,8.0,Shots
Mohamed Salah,eg EGY,MF,MF,shots,64.0,Shots
Hugo Ekitike,fr FRA,FW,FW,shots,65.0,Shots
Curtis Jones,eng ENG,"MF,DF",MF,shots,19.0,Shots
Andrew Robertson,sct SCO,DF,DF,shots,9.0,Shots
Jeremie Frimpong,nl NED,"DF,MF",DF,shots,10.0,Shots
Conor Bradley,nir NIR,DF,DF,shots,6.0,Shots
Giorgi Mamardashvili,ge GEO,GK,GK,shots,0.0,Shots
Alexander Isak,se SWE,FW,FW,shots,17.0,Shots
Joe Gomez,eng ENG,DF,DF,shots,3.0,Shots
Rio Ngumoha,eng ENG,MF,MF,shots,11.0,Shots
Federico Chiesa,it ITA,MF,MF,shots,16.0,Shots
Freddie Woodman,eng ENG,GK,GK,shots,0.0,Shots
Wataru Endo,jp JPN,DF,DF,shots,1.0,Shots
Trey Nyoni,eng ENG,MF,MF,shots,1.0,Shots
Harvey Elliott,eng ENG,"FW,MF",FW,shots,0.0,Shots
Virgil van Dijk,nl NED,DF,DF,shots_on_target,12.0,Shots On Target
Dominik Szoboszlai,hu HUN,"MF,DF",MF,shots_on_target,21.0,Shots On Target
Ibrahima Konaté,fr FRA,DF,DF,shots_on_target,3.0,Shots On Target
Ryan Gravenberch,nl NED,MF,MF,shots_on_target,11.0,Shots On Target
Cody Gakpo,nl NED,"MF,FW",MF,shots_on_target,21.0,Shots On Target
Alexis Mac Allister,ar ARG,MF,MF,shots_on_target,11.0,Shots On Target
Florian Wirtz,de GER,MF,MF,shots_on_target,17.0,Shots On Target
Alisson,br BRA,GK,GK,shots_on_target,0.0,Shots On Target
Milos Kerkez,hu HUN,DF,DF,shots_on_target,2.0,Shots On Target
Mohamed Salah,eg EGY,MF,MF,shots_on_target,17.0,Shots On Target
Hugo Ekitike,fr FRA,FW,FW,shots_on_target,19.0,Shots On Target
Curtis Jones,eng ENG,"MF,DF",MF,shots_on_target,6.0,Shots On Target
Andrew Robertson,sct SCO,DF,DF,shots_on_target,3.0,Shots On Target
Jeremie Frimpong,nl NED,"DF,MF",DF,shots_on_target,2.0,Shots On Target
Conor Bradley,nir NIR,DF,DF,shots_on_target,0.0,Shots On Target
Giorgi Mamardashvili,ge GEO,GK,GK,shots_on_target,0.0,Shots On Target
Alexander Isak,se SWE,FW,FW,shots_on_target,6.0,Shots On Target
Joe Gomez,eng ENG,DF,DF,shots_on_target,1.0,Shots On Target
Rio Ngumoha,eng ENG,MF,MF,shots_on_target,6.0,Shots On Target
Federico Chiesa,it ITA,MF,MF,shots_on_target,4.0,Shots On Target
